Match,Date,Innings,Over,Runs,Total.Runs,Innings.Total.Runs,Runs.Remaining,Total.Out,Innings.Total.Out,Outs.Remaining,Wickets.in.Hand,Run.Rate,Innings.Run.Rate,Run.Rate.Required,Initial.Run.Rate.Required,Target.Score,Day-night,At.Bat,Fielding,Home.Team,Away.Team,Stadium,Country,Total.Overs,Winning.Team,Toss.Winner,at.bat.wins,at.bat.won.toss,at.bat.at.home,at.bat.bat.first,chose_bat_1st,chose_bat_2nd,forced_bat_1st,forced_bat_2nd,new.game,Error.In.Data,common.support
65193,14/05/1999,2,13,1,43,207,164,0,2,2,10,3.307692308,4.14,4.378378378,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,14,2,45,207,162,0,2,2,10,3.214285714,4.14,4.444444444,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,15,5,50,207,157,1,2,1,9,3.333333333,4.14,4.428571429,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,16,4,54,207,153,1,2,1,9,3.375,4.14,4.441176471,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,17,4,58,207,149,1,2,1,9,3.411764706,4.14,4.454545455,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,18,2,60,207,147,1,2,1,9,3.333333333,4.14,4.53125,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,19,6,66,207,141,1,2,1,9,3.473684211,4.14,4.483870968,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,20,2,68,207,139,1,2,1,9,3.4,4.14,4.566666667,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,21,4,72,207,135,1,2,1,9,3.428571429,4.14,4.586206897,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,22,9,81,207,126,1,2,1,9,3.681818182,4.14,4.428571429,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,23,5,86,207,121,1,2,1,9,3.739130435,4.14,4.407407407,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
